"golden","state","num_trusted_judgment","birthplace","date_of_birth","race_ethnicity","religion","sexual_orientation","year_of_award","award","bio_url","movie","person"
"FALSE","finalized","3","Flushing, Ny","1942-11-17T00:00:00.000Z","White","Roman Catholic","Straight","2007","Best Director","http://www.nndb.com/people/678/000022612/","The Departed","Martin Scorsese"
"FALSE","finalized","3","St. Louis Park, Mn","1957-09-21T00:00:00.000Z","White","Jewish","Straight","2008","Best Director","http://www.nndb.com/people/400/000025325/","No Country for Old Men","Ethan Coen"
"TRUE","golden","81","Manchester, England","1956-10-20T00:00:00.000Z","White","Roman Catholic","Straight","2009","Best Director","http://www.nndb.com/people/887/000044755/","Slumdog Millionaire","Danny Boyle"
"FALSE","finalized","3","San Carlos, Ca","1951-11-27T00:00:00.000Z","White","Na","Straight","2009","Best Director","http://www.nndb.com/people/837/000079600/","The Hurt Locker","Kathryn Bigelow"
"FALSE","finalized","3","London, England","1972-01-01T00:00:00.000Z","White","Na","Na","2011","Best Director","http://www.nndb.com/people/093/000268286/","The King's Speech","Tom Hooper"
"FALSE","finalized","3","Paris, France","1967-03-29T00:00:00.000Z","White","Jewish","Straight","2012","Best Director","http://www.nndb.com/people/302/000281456/","The Artist","Michel Hazanavicius"
"FALSE","finalized","3","Pingtung, Taiwan","1954-10-23T00:00:00.000Z","Asian","Na","Straight","2013","Best Director","http://www.nndb.com/people/394/000025319/","Life of Pi","Ang Lee"
"FALSE","finalized","3","Rorschach, Switzerland","1884-07-23T00:00:00.000Z","White","Na","Bisexual","1929","Best Actor","http://www.nndb.com/people/738/000063549/","The Last Command","Emil Jannings"
"FALSE","finalized","3","Columbus, Oh","1889-03-29T00:00:00.000Z","White","Na","Straight","1930","Best Actor","http://www.nndb.com/people/739/000063550/","In Old Arizona","Warner Baxter"
"FALSE","finalized","3","London, England","1868-04-10T00:00:00.000Z","White","Na","Straight","1930","Best Actor","http://www.nndb.com/people/740/000063551/","Desraeli","George Arliss"
"FALSE","finalized","3","Philadelphia, Pa","1878-04-28T00:00:00.000Z","White","Roman Catholic","Straight","1931","Best Actor","http://www.nndb.com/people/741/000043612/","A Free Soul","Lionel Barrymore"
"FALSE","finalized","3","Kansas City, Mo","1885-04-01T00:00:00.000Z","White","Na","Straight","1932","Best Actor","http://www.nndb.com/people/976/000043847/","The Champ","Wallace Beery"
"FALSE","finalized","3","Victoria Hotel, Scarborough, Yorkshire, England","1899-07-01T00:00:00.000Z","White","Roman Catholic","Gay","1934","Best Actor","http://www.nndb.com/people/884/000042758/","The Private Life of Henry VIII","Charles Laughton"
"FALSE","finalized","3","Cadiz, Oh","1901-02-01T00:00:00.000Z","White","Na","Straight","1935","Best Actor","http://www.nndb.com/people/156/000027075/","It Happened One Night","Clark Gable"
"FALSE","finalized","3","Tunbridge Wells, Kent, England","1883-12-11T00:00:00.000Z","White","Anglican/episcopalian","Straight","1936","Best Actor","http://www.nndb.com/people/452/000047311/","The Informer","Victor McLaglen"
"FALSE","finalized","3","Lviv, Ukraine","1895-09-22T00:00:00.000Z","White","Jewish","Straight","1937","Best Actor","http://www.nndb.com/people/741/000063552/","The Story of Louis Pasteur","Paul Muni"
"FALSE","finalized","3","Milwaukee, Wi","1900-04-05T00:00:00.000Z","White","Roman Catholic","Straight","1938","Best Actor","http://www.nndb.com/people/979/000024907/","Captains Courageous","Spencer Tracy"
"FALSE","finalized","3","Milwaukee, Wi","1900-04-05T00:00:00.000Z","White","Roman Catholic","Straight","1939","Best Actor","http://www.nndb.com/people/979/000024907/","Boys Town","Spencer Tracy"
"FALSE","finalized","3","Withington, Manchester, England","1905-03-18T00:00:00.000Z","White","Na","Straight","1940","Best Actor","http://www.nndb.com/people/742/000063553/","Goodbye Mr. Chips","Robert Donat"
"FALSE","finalized","3","Indiana, Pa","1908-05-20T00:00:00.000Z","White","Presbyterian","Straight","1941","Best Actor","http://www.nndb.com/people/659/000026581/","The Philadelphia Story","Jimmy Stewart"
"FALSE","finalized","3","Helena, Mt","1901-05-07T00:00:00.000Z","White","Roman Catholic","Straight","1942","Best Actor","http://www.nndb.com/people/740/000031647/","Sergeant York","Gary Cooper"
"FALSE","finalized","3","Manhattan, Ny","1899-07-17T00:00:00.000Z","White","Roman Catholic","Straight","1943","Best Actor","http://www.nndb.com/people/798/000024726/","Yankee Doodle Dandy","James Cagney"
"FALSE","finalized","3","Budapest, Hungary","1887-05-26T00:00:00.000Z","White","Na","Straight","1944","Best Actor","http://www.nndb.com/people/713/000042587/","Watch on the Rhine","Paul Lukas"
"FALSE","finalized","3","Tacoma, Wa","1903-05-03T00:00:00.000Z","White","Roman Catholic","Straight","1945","Best Actor","http://www.nndb.com/people/651/000026573/","Going My Way","Bing Crosby"
"FALSE","finalized","3","Neath, Wales","1907-01-03T00:00:00.000Z","White","Na","Straight","1946","Best Actor","http://www.nndb.com/people/814/000042688/","The Lost Weekend","Ray Milland"
"FALSE","finalized","3","Racine, Wi","1897-08-31T00:00:00.000Z","White","Na","Straight","1947","Best Actor","http://www.nndb.com/people/255/000043126/","The Best Years of Our Lives","Fredric March"
"FALSE","finalized","3","Richmond, Surrey, England","1891-02-09T00:00:00.000Z","White","Na","Straight","1948","Best Actor","http://www.nndb.com/people/619/000042493/","A Double Life","Ronald Colman"
"FALSE","finalized","3","Dorking, Surrey, England","1907-05-22T00:00:00.000Z","White","Na","Bisexual","1949","Best Actor","http://www.nndb.com/people/607/000022541/","Hamlet","Laurence Olivier"
"FALSE","finalized","3","Philadelphia, Pa","1911-12-09T00:00:00.000Z","White","Na","Straight","1950","Best Actor","http://www.nndb.com/people/744/000063555/","All The King's Men","Broderick Crawford"
"FALSE","finalized","3","Santurce, Puerto Rico","1909-01-08T00:00:00.000Z","Hispanic","Na","Straight","1951","Best Actor","http://www.nndb.com/people/311/000026233/","Cyrano de Bergerac","Jose Ferrer"
"FALSE","finalized","3","New York City","1899-12-25T00:00:00.000Z","White","Na","Straight","1952","Best Actor","http://www.nndb.com/people/837/000024765/","The Africa Queen","Humphrey Bogart"
"TRUE","golden","95","Helena, Mt","1901-05-07T00:00:00.000Z","White","Roman Catholic","Straight","1953","Best Actor","http://www.nndb.com/people/740/000031647/","High Noon","Gary Cooper"
"FALSE","finalized","3","O'fallon, Il","1918-04-17T00:00:00.000Z","White","Na","Straight","1954","Best Actor","http://www.nndb.com/people/210/000022144/","Stalag 17","William Holden"
"FALSE","finalized","3","Omaha, Ne","1924-04-03T00:00:00.000Z","White","Deist","Bisexual","1955","Best Actor","http://www.nndb.com/people/721/000022655/","On the Waterfront","Marlon Brando"
"FALSE","finalized","3","Hamden, Ct","1917-01-24T00:00:00.000Z","White","Na","Straight","1956","Best Actor","http://www.nndb.com/people/730/000022664/","Marty","Ernest Borgnine"
"FALSE","finalized","3","Vladivostok, Russia","1920-07-11T00:00:00.000Z","White","Na","Straight","1957","Best Actor","http://www.nndb.com/people/459/000026381/","The King and I","Yul Brynner"
"FALSE","finalized","3","London, England","1914-04-02T00:00:00.000Z","White","Roman Catholic","Bisexual","1958","Best Actor","http://www.nndb.com/people/751/000023682/","The Bridge on the River Kwai","Alec Guinness"
"FALSE","finalized","3","London, England","1909-03-01T00:00:00.000Z","White","Na","Straight","1959","Best Actor","http://www.nndb.com/people/690/000031597/","Separate Tables","David Niven"
"FALSE","finalized","3","Evanston, Il","1923-10-04T00:00:00.000Z","White","Protestant","Straight","1960","Best Actor","http://www.nndb.com/people/961/000022895/","Ben-hur","Charlton Heston"
"FALSE","finalized","3","New York City","1913-11-02T00:00:00.000Z","White","Protestant","Straight","1961","Best Actor","http://www.nndb.com/people/938/000031845/","Elmer Gantry","Burt Lancaster"
"FALSE","finalized","3","Vienna, Austria","1930-12-08T00:00:00.000Z","White","Na","Straight","1962","Best Actor","http://www.nndb.com/people/351/000023282/","Judgement at Nuremberg","Maximilian Schell"
"FALSE","finalized","3","La Jolla, Ca","1916-04-05T00:00:00.000Z","White","Roman Catholic","Straight","1963","Best Actor","http://www.nndb.com/people/774/000023705/","To Kill a Mockingbird","Gregory Peck"
"FALSE","finalized","3","Miami, Fl","1927-02-20T00:00:00.000Z","Black","Deist","Straight","1964","Best Actor","http://www.nndb.com/people/200/000023131/","Lilies of the Field","Sidney Poitier"
"FALSE","finalized","3","Huyton, Lancashire, England","1908-03-05T00:00:00.000Z","White","Na","Straight","1965","Best Actor","http://www.nndb.com/people/132/000043003/","My Fair Lady","Rex Harrison"
"FALSE","finalized","3","New York City","1924-02-19T00:00:00.000Z","White","Na","Straight","1966","Best Actor","http://www.nndb.com/people/314/000026236/","Cat Ballou","Lee Marvin"
"FALSE","finalized","3","Hurstpierpoint, West Sussex, England","1922-01-21T00:00:00.000Z","White","Na","Straight","1967","Best Actor","http://www.nndb.com/people/950/000033851/","A Man For All Seasons","Paul Scofield"
"FALSE","finalized","3","Westhampton, Ny","1925-04-14T00:00:00.000Z","White","Lutheran","Straight","1968","Best Actor","http://www.nndb.com/people/762/000026684/","In the Heat of the Night","Rod Steiger"
"FALSE","finalized","3","La Jolla, Ca","1923-09-09T00:00:00.000Z","White","Na","Straight","1969","Best Actor","http://www.nndb.com/people/134/000023065/","Charly","Cliff Robertson"
"FALSE","finalized","3","Winterset, Ia","1907-05-26T00:00:00.000Z","White","Roman Catholic","Straight","1970","Best Actor","http://www.nndb.com/people/605/000023536/","True Grit","John Wayne"
"FALSE","finalized","3","Wise, Va","1927-10-18T00:00:00.000Z","White","Na","Straight","1971","Best Actor","http://www.nndb.com/people/025/000022956/","Patton","George C. Scott"
"FALSE","finalized","3","San Bernardino, Ca","1930-01-30T00:00:00.000Z","White","Na","Straight","1972","Best Actor","http://www.nndb.com/people/878/000022812/","The French Connection","Gene Hackman"
"FALSE","finalized","3","Omaha, Ne","1924-04-03T00:00:00.000Z","White","Deist","Bisexual","1973","Best Actor","http://www.nndb.com/people/721/000022655/","The Godfather","Marlon Brando"
"FALSE","finalized","3","Newton, Ma","1925-02-08T00:00:00.000Z","White","Roman Catholic","Straight","1974","Best Actor","http://www.nndb.com/people/714/000026636/","Save the Tiger","Jack Lemmon"
"FALSE","finalized","3","Mount Vernon, Ny","1918-11-04T00:00:00.000Z","White","Na","Straight","1975","Best Actor","http://www.nndb.com/people/182/000025107/","Harry and Tonto","Art Carney"
